project_id,task_id,planned_optimistic,planned_likely,planned_pessimistic,criticality,cost,num_required_skills,num_assigned,assigned_avg_efficiency,assigned_total_load,num_predecessors,num_successors,actual_duration
0,0,2,25,30,4,400.5,3,3,0.47555555555555556,29.9,0,7,58.666666666666664
0,1,22,26,30,5,1833.99,2,3,0.6366666666666667,28.400000000000002,1,8,65.0
0,2,26,26,30,2,1124.82,3,2,0.4283333333333334,24.0,1,8,71.11111111111111
0,3,28,29,29,1,1865.29,2,1,0.45499999999999996,2.3,0,9,72.08333333333333
0,4,4,27,30,5,1899.2,1,3,1.0333333333333334,35.4,1,5,42.123065431097366
0,5,17,25,26,2,343.94,1,2,1.2149999999999999,22.7,1,9,21.054179375547687
0,6,19,22,26,4,1932.29,2,1,0.7999999999999999,7.6,3,4,55.41666666666667
0,7,18,25,25,3,932.39,2,3,0.585,22.4,2,4,59.58333333333333
0,8,20,28,28,1,742.36,1,1,1.11,13.899999999999999,1,7,29.499461306128676
0,9,3,13,15,1,534.99,3,3,0.54,30.3,3,5,31.111111111111107
0,10,25,29,30,2,1124.54,3,1,0.3633333333333333,11.9,3,3,76.0
0,11,5,26,29,4,461.78,1,1,0.81,7.699999999999999,1,8,28.707740983841376
0,12,3,24,29,4,1741.29,2,1,0.625,11.4,3,1,53.33333333333333
0,13,5,12,18,3,1621.13,3,1,0.5133333333333333,12.700000000000001,2,4,31.555555555555557
0,14,7,15,29,4,366.35,1,1,1.39,13.899999999999999,5,5,14.134274266101944
0,15,19,20,20,4,1635.24,1,2,0.965,22.8,6,1,20.1130405852147
0,16,17,24,25,2,415.99,3,1,0.39666666666666667,10.1,2,6,61.33333333333333
0,17,14,22,29,4,104.1,2,3,0.7216666666666668,31.6,6,4,54.58333333333333
0,18,11,17,17,4,394.11,2,3,0.6166666666666667,30.4,3,2,40.0
0,19,20,27,28,3,208.61,3,3,0.5466666666666667,32.1,4,3,69.33333333333333
0,20,4,23,24,1,1717.55,1,2,1.175,20.700000000000003,4,3,16.33185740645064
0,21,21,21,30,5,567.81,3,2,0.545,24.1,6,1,60.0
0,22,12,20,23,5,1173.93,1,3,1.01,27.200000000000003,3,1,30.208528606777485
0,23,23,28,29,3,851.99,3,1,0.3933333333333333,7.6,9,1,72.88888888888889
0,24,20,21,22,1,970.74,2,2,0.5825,22.8,7,1,52.5
0,25,4,11,22,2,1873.19,3,3,0.61,35.4,5,1,31.111111111111107
0,26,21,29,29,5,1436.73,2,3,0.57,22.5,9,1,69.16666666666667
0,27,5,28,30,2,602.49,3,1,0.43333333333333335,12.5,8,0,65.33333333333333
0,28,24,26,27,3,1249.18,1,1,0.9,12.5,13,0,30.890311687451067
1,0,12,17,29,4,139.63,2,2,0.445,23.400000000000002,0,6,45.41666666666667
1,1,9,22,28,4,1704.52,3,1,0.6433333333333333,14.300000000000002,1,4,48.611111111111114
1,2,26,27,27,3,520.99,3,1,0.5366666666666666,13.1,0,8,71.55555555555554
1,3,26,28,29,5,468.42,3,3,0.43333333333333335,38.0,1,7,74.22222222222221
1,4,8,13,17,1,378.24,3,2,0.5283333333333333,25.9,0,10,34.22222222222222
1,5,26,29,30,4,1533.45,3,1,0.4766666666666666,14.300000000000002,2,2,76.44444444444444
1,6,22,26,28,1,990.95,3,2,0.45,26.800000000000004,2,8,68.44444444444444
1,7,16,16,16,1,689.77,3,3,0.5133333333333334,37.7,1,3,37.333333333333336
1,8,18,24,27,1,1268.52,2,1,0.43000000000000005,10.9,2,3,58.75
1,9,12,27,28,5,1338.49,3,3,0.40111111111111114,38.0,5,6,65.77777777777777
1,10,28,29,29,1,1640.84,1,1,0.69,12.799999999999999,5,4,48.55950058083128
1,11,16,24,28,2,1444.48,3,1,0.39333333333333337,14.300000000000002,3,5,62.222222222222214
1,12,26,28,30,3,836.09,3,1,0.47000000000000003,12.799999999999999,3,3,74.66666666666666
1,13,19,29,30,1,726.41,3,3,0.5133333333333334,37.7,3,3,64.16666666666667
1,14,12,14,18,5,1759.23,2,1,0.45999999999999996,12.500000000000002,4,4,35.833333333333336
1,15,24,24,26,4,345.01,2,1,0.605,12.799999999999999,4,2,60.83333333333333
1,16,28,28,30,2,1373.22,3,2,0.6150000000000001,25.3,2,2,66.11111111111111
1,17,7,13,23,1,788.94,3,3,0.4588888888888889,36.2,4,2,36.44444444444444
1,18,11,14,30,2,394.4,2,1,0.78,13.1,5,1,40.41666666666667
1,19,21,23,29,3,1765.15,3,2,0.38999999999999996,27.400000000000002,6,3,63.111111111111114
1,20,26,27,30,2,1679.56,1,1,0.2,10.9,7,1,82.0
1,21,9,23,27,3,1385.09,1,2,0.865,23.7,7,1,28.17114484563202
1,22,27,28,28,2,687.99,3,1,0.5866666666666667,13.1,6,0,74.22222222222221
1,23,11,23,29,4,977.19,2,2,0.7475,25.3,9,0,55.0
1,24,10,11,26,5,362.96,1,1,1.36,13.1,6,0,11.036781679133584
2,0,2,10,27,2,1508.38,2,1,0.765,12.299999999999999,0,5,28.75
2,1,9,21,30,2,472.76,3,3,0.4411111111111111,32.5,0,2,54.666666666666664
2,2,23,25,27,5,1343.76,1,1,0.86,8.4,0,3,30.786678855326578
2,3,25,27,28,4,975.58,2,1,0.69,11.500000000000002,2,3,67.08333333333333
2,4,19,29,29,5,1027.8,1,1,1.18,11.500000000000002,1,2,27.668317779312847
2,5,28,28,28,1,883.55,3,3,0.5433333333333334,35.1,2,2,74.66666666666666
2,6,3,22,29,5,966.42,3,2,0.6916666666666668,21.0,0,2,53.33333333333333
2,7,2,2,18,5,1148.12,3,2,0.49833333333333335,20.7,2,1,12.444444444444445
2,8,24,29,30,1,1054.21,3,2,0.6083333333333334,23.8,2,1,75.55555555555554
2,9,9,15,23,1,1096.33,1,1,1.18,11.3,2,1,14.25928345407885
2,10,14,28,30,1,808.8,2,3,0.5616666666666666,32.5,1,1,65.0
2,11,28,28,30,2,669.95,1,1,1.18,11.500000000000002,4,0,28.680573307824293
2,12,17,17,27,4,816.62,3,1,0.5266666666666666,11.3,3,0,49.77777777777778
2,13,15,25,27,2,257.1,1,1,1.18,11.500000000000002,1,0,23.95671417477088
2,14,24,28,29,2,501.69,3,1,0.5266666666666666,11.3,3,0,73.33333333333333
3,0,15,28,28,4,513.88,2,2,0.6425000000000001,20.6,0,14,64.58333333333333
3,1,20,22,29,3,741.73,2,3,0.715,33.7,1,5,57.08333333333333
3,2,27,28,28,1,289.19,2,3,0.5416666666666666,36.0,0,7,69.58333333333333
3,3,15,18,29,4,967.38,1,3,1.2566666666666666,29.499999999999996,0,4,14.427860696517412
3,4,10,12,23,3,402.06,1,1,1.3,8.4,1,8,10.763989203230981
3,5,22,26,27,2,198.4,2,1,0.55,8.5,1,7,63.75
3,6,17,18,20,1,102.06,2,1,0.75,8.4,3,5,45.41666666666667
3,7,12,15,28,1,115.32,3,1,0.49333333333333335,12.0,1,7,44.44444444444444
3,8,25,25,25,2,827.83,3,2,0.4983333333333333,18.7,1,6,66.66666666666666
